1/T,raw,fit,err
0.0033540164346805303,-14.125856510834753,-14.125923562300652,0.0019937110659276626
0.0033540164346805303,-14.228581876409018,-14.125923562300652,0.0019937110659276626
0.003298697014679202,-13.582414938227027,-13.54875689014008,0.003019461649284508
0.003224246332419797,-12.731185903344144,-12.77198713155055,0.0061345385851016175
0.003224246332419797,-12.776941288746563,-12.77198713155055,0.0061345385851016175
0.0031431714600031434,-12.027556377568846,-11.926104902354378,0.009842181205257866
0.0031431714600031434,-11.944374776338838,-11.926104902354378,0.009842181205257866
0.0030755036137167465,-11.21560321555459,-11.220102821124048,0.012992529977475473
0.0030755036137167465,-11.228553840447276,-11.220102821124048,0.012992529977475473
0.0030016509079994,-10.444917338524327,-10.449571958943796,0.016452332161547817
0.0030016509079994,-10.424224255876851,-10.449571958943796,0.016452332161547817
0.002831657935721365,,-8.675976391635942,0.024450380559094684
0.0028423183132511437,,-8.787199803282157,0.023948054620215375
0.002852978690780923,,-8.898423214928378,0.023445800277350538
0.0028636390683107016,,-9.009646626574597,0.022943622232383262
0.0028742994458404807,,-9.120870038220819,0.022441525607322255
0.0028849598233702594,,-9.232093449867033,0.021939515992146205
0.002895620200900038,,-9.343316861513252,0.021437599499466012
0.0029062805784298173,,-9.454540273159473,0.02093578282686606
0.002916940955959596,,-9.565763684805688,0.020434073328443676
0.0029276013334893747,,-9.676987096451906,0.019932479097080458
0.002938261711019154,,-9.788210508098128,0.019431009059302607
0.0029489220885489326,,-9.899433919744343,0.018929673085242897
0.0029595824660787117,,-10.010657331390565,0.018428482116277945
0.0029702428436084905,,-10.121880743036783,0.017927448313970737
0.002980903221138269,,-10.233104154682998,0.01742658523449087
0.0029915635986680483,,-10.34432756632922,0.016925908033654465
0.003002223976197827,,-10.455550977975438,0.01642543370924554
0.003012884353727606,,-10.56677438962166,0.01592518138842473
0.003023544731257385,,-10.677997801267875,0.015425172670539318
0.0030342051087871636,,-10.789221212914093,0.014925432038047776
0.0030448654863169428,,-10.900444624560315,0.014425987351746295
0.0030555258638467215,,-11.01166803620653,0.013926870451305537
0.0030661862413765006,,-11.122891447852751,0.013428117887706124
0.0030768466189062794,,-11.23411485949897,0.012929771822804937
0.003087506996436058,,-11.345338271145184,0.012431881141543486
0.0030981673739658372,,-11.456561682791406,0.0119345028379674
0.003108827751495616,,-11.567785094437621,0.011437703755838531
0.0031194881290253947,,-11.679008506083843,0.010941562793629116
0.003130148506555174,,-11.790231917730065,0.010446173723994695
0.0031408088840849525,,-11.90145532937628,0.0099516488342711
0.0031514692616147317,,-12.012678741022501,0.009458123678337076
0.0031621296391445104,,-12.123902152668716,0.008965763350246582
0.003172790016674289,,-12.235125564314938,0.008474770872115494
0.0031834503942040683,,-12.346348975961153,0.007985398559960695
0.003194110771733847,,-12.457572387607375,0.007497963652372346
0.003204771149263626,,-12.568795799253596,0.007012870143351347
0.003215431526793405,,-12.680019210899811,0.006530639808422098
0.0032260919043231836,,-12.791242622546026,0.006051957114122126
0.0032367522818529627,,-12.902466034192248,0.0055777355135684555
0.0032474126593827414,,-13.013689445838462,0.00510921735215595
0.00325807303691252,,-13.124912857484684,0.004648127621807049
0.0032687334144422993,,-13.236136269130906,0.0041969153874886695
0.003279393791972078,,-13.34735968077712,0.0037591391428333787
0.003290054169501857,,-13.458583092423343,0.0033400861313674255
0.003300714547031636,,-13.569806504069557,0.002947752292687998
0.0033113749245614146,,-13.68102991571578,0.0025942882911414735
0.0033220353020911937,,-13.792253327361994,0.00229770316626862
0.0033326956796209724,,-13.903476739008216,0.0020824427692800224
0.0033433560571507516,,-14.014700150654438,0.0019752761525165304
0.0033540164346805303,,-14.125923562300652,0.0019937110659276626
